row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
1,7062.0,ENSG00000000003,TSPAN6,7105.0
2,40735.0,ENSG00000000005,TNMD,64102.0
3,8736.0,ENSG00000000419,DPM1,8813.0
4,36423.0,ENSG00000000457,SCYL3,57147.0
5,35021.0,ENSG00000000460,C1orf112,55732.0
6,2253.0,ENSG00000000938,FGR,2268.0
7,3057.0,ENSG00000000971,CFH,3075.0
8,2503.0,ENSG00000001036,FUCA2,2519.0
9,2712.0,ENSG00000001084,GCLC,2729.0
10,4769.0,ENSG00000001167,NFYA,4800.0
11,59935.0,ENSG00000001460,C1orf201,90529.0
12,36461.0,ENSG00000001461,NIPAL3,57185.0
13,57559.0,ENSG00000001497,LAS1L,81887.0
14,22631.0,ENSG00000001561,ENPP4,22875.0
15,6369.0,ENSG00000001617,SEMA3F,6405.0
16,1072.0,ENSG00000001626,CFTR,1080.0
17,33758.0,ENSG00000001629,ANKIB1,54467.0
18,1583.0,ENSG00000001630,CYP51A1,1595.0
19,884.0,ENSG00000001631,KRIT1,889.0
20,5861.0,ENSG00000002016,RAD52,5893.0
22,569.0,ENSG00000002330,BAD,572.0
23,30538.0,ENSG00000002549,LAP3,51056.0
25,9813.0,ENSG00000002587,HS3ST1,9957.0
26,23.0,ENSG00000002726,ABP1,26.0
27,30865.0,ENSG00000002745,WNT16,51384.0
28,22827.0,ENSG00000002746,HECW1,23072.0
29,8321.0,ENSG00000002822,MAD1L1,8379.0
30,3902.0,ENSG00000002834,LASP1,3927.0
31,29649.0,ENSG00000002919,SNX11,29916.0
32,34654.0,ENSG00000002933,TMEM176A,55365.0
33,4049.0,ENSG00000003056,M6PR,4074.0
34,59880.0,ENSG00000003096,KLHL13,90293.0
35,35883.0,ENSG00000003137,CYP26B1,56603.0
36,3362.0,ENSG00000003147,ICA1,3382.0
37,54847.0,ENSG00000003249,DBNDD1,79007.0
38,36952.0,ENSG00000003393,ALS2,57679.0
39,839.0,ENSG00000003400,CASP10,843.0
40,8760.0,ENSG00000003402,CFLAR,8837.0
41,6993.0,ENSG00000003436,TFPI,7035.0
42,34760.0,ENSG00000003509,C2orf56,55471.0
43,10035.0,ENSG00000003756,RBM5,10181.0
44,8985.0,ENSG00000003987,MTMR7,9108.0
45,6506.0,ENSG00000003989,SLC7A2,6542.0
46,378.0,ENSG00000004059,ARF5,381.0
47,22853.0,ENSG00000004139,SARM1,23098.0
48,,ENSG00000004142,POLDIP2,
49,22884.0,ENSG00000004399,PLXND1,23129.0
50,201.0,ENSG00000004455,AK2,204.0
51,947.0,ENSG00000004468,CD38,952.0
52,2272.0,ENSG00000004478,FKBP4,2288.0
54,10034.0,ENSG00000004534,RBM6,10180.0
55,58464.0,ENSG00000004660,CAMKK1,84254.0
56,5933.0,ENSG00000004700,RECQL,5965.0
57,34899.0,ENSG00000004766,CCDC132,55610.0
