gene,class
GPC5,Astro
SLC1A3,Astro
CLU3,Astro
AQP4,Astro
GJB6,Astro
SLC1A2,Astro
ADGRV1,Astro
COL5A3,Astro
AQP41,Astro
BMPR1B,Astro
GJA1,Astro
RNF219-AS1,Astro
MACF12,Astro
SPARCL16,Astro
SLC25A18,Astro
FGFR3,Astro
GPM6A,Astro
ZNF98,Astro
ATP1A2,Astro
ID2,Astro
GFAP,Astro
NBPF10,Astro
ATP1A21,Astro
EDNRB,Astro
SDC4,Astro
HPSE2,Astro
SLC14A1,Astro
ID4,Astro
LINC00499,Astro
GPR98,Astro
ZFP36L11,Astro
ALDH1L1,Astro
CLDN10,Astro
MT31,Astro
CHI3L1,Astro
AGT,Astro
DTNA,Astro
PRODH,Astro
CST31,Astro
SLCO1C1,Astro
SLC4A4,Astro
PITPNC1,Astro
CST3,Astro
FOS,Astro
IL33,Astro
GPAM,Astro
NKAIN3,Astro
TPD52L1,Astro
HSPB1,Astro
ACSBG1,Astro
DST2,Astro
FGFR31,Astro
WIF1,Astro
RANBP3L,Astro
RYR3,Astro
ETNPPL,Astro
HSP90AA14,Astro
PAPLN,Astro
MLC1,Astro
AC002429.2,Astro
GLUL,Astro
HIF3A,Astro
SLC14A11,Astro
GPR37L1,Astro
MGST1,Astro
RYR31,Astro
JUN,Astro
GLI3,Astro
LINC00982,Astro
GPR981,Astro
SLC39A12,Astro
MMD2,Astro
APOE1,Astro
ACOT11,Astro
NCAN,Astro
PAMR1,Astro
CLU2,Astro
MACF13,Astro
RP4-673D20.6,Astro
ATP1B2,Astro
MSI2,Astro
NEAT15,Astro
NEAT16,Astro
A2ML1,Astro
CLU,Astro
NHSL1,Astro
NDRG2,Astro
SLC1A31,Astro
LAMA1,Astro
RGS20,Astro
LSAMP,Astro
C1orf61,Astro
NTRK21,Astro
PAX6,Astro
PRSS35,Astro
PREX2,Astro
ID3,Astro
HSD17B6,Astro
SLC13A5,Astro
PTGDS6,Astro
MALAT13,Astro
LRRC16A,Astro
P2RY1,Astro
CARMIL1,Astro
SPARCL15,Astro
SLC1A21,Astro
PLA2G5,Astro
EFEMP1,Astro
MIR99AHG,Astro
PTGDS7,Astro
MT3,Astro
SOX9,Astro
AC008957.2,Astro
SFXN5,Astro
MRVI1,Astro
AEBP1,Astro
STOX1,Astro
STON2,Astro
LGI4,Astro
C1orf611,Astro
ADORA2B,Astro
ACSS1,Astro
PFKFB2,Astro
GLIS3,Astro
BBOX1,Astro
S100B,Astro
RP11-806O11.1,Astro
RP1-68D18.3,Astro
TNIK,Astro
OGFRL1,Astro
AMOT,Astro
GPR125,Astro
GNA14-AS1,Astro
AHCYL2,Astro
NTRK2,Astro
MT2A,Astro
SELENBP1,Astro
RP4-673D20.3,Astro
BAZ2B4,Astro
HSPA1A,Astro
OAF,Astro
NPAS3,Astro
AHNAK,Astro
GABRG1,Astro
PRDM16,Astro
CTNNA2,Astro
FBXL7,Astro
PLIN5,Astro
GRAMD31,Astro
IQCA1,Astro
TRIL,Astro
TTYH1,Astro
GJA11,Astro
TRPM3,Astro
CDH20,Astro
SYNE12,Astro
NBPF101,Astro
GABRA2,Astro
ELOVL2,Astro
ZNRF3,Astro
ACSL61,Astro
AHCYL11,Astro
SLC7A10,Astro
PARD3B,Astro
