gene_symbol,entrez_id
61E3.4,440345
A1BG,1
A1CF,29974
A26C1B,728378
A2BP1,54715
A2LD1,87769
A2M,2
A2ML1,144568
A3GALT2P,127550
A4GALT,53947
A4GNT,51146
AAAS,8086
AACS,65985
AADAC,13
AADACL1,57552
AADACL2,344752
AADACL3,126767
AADACL4,343066
AADAT,51166
AAED1,195827
AAGAB,79719
AAK1,22848
AAMP,14
AANAT,15
AARD,441376
AARS,16
AARS2,57505
AARSD1,80755
AASDH,132949
AASDHPPT,60496
AASS,10157
AATF,26574
AATK,9625
ABAT,18
ABCA1,19
ABCA10,10349
ABCA11P,79963
ABCA12,26154
ABCA13,154664
ABCA17P,650655
ABCA2,20
ABCA3,21
ABCA4,24
ABCA5,23461
ABCA6,23460
ABCA7,10347
ABCA8,10351
ABCA9,10350
ABCB1,5243
ABCB10,23456
ABCB11,8647
ABCB4,5244
ABCB5,340273
ABCB6,10058
ABCB7,22
ABCB8,11194
ABCB9,23457
ABCC1,4363
ABCC10,89845
ABCC11,85320
ABCC12,94160
ABCC13,150000
ABCC2,1244
ABCC3,8714
ABCC4,10257
ABCC5,10057
ABCC6,368
ABCC8,6833
ABCC9,10060
ABCD1,215
ABCD2,225
ABCD3,5825
ABCD4,5826
ABCE1,6059
ABCF1,23
ABCF2,10061
ABCF3,55324
ABCG1,9619
ABCG2,9429
ABCG4,64137
ABCG5,64240
ABCG8,64241
ABHD1,84696
ABHD10,55347
ABHD11,83451
ABHD12,26090
ABHD12B,145447
ABHD13,84945
ABHD14A,25864
ABHD14B,84836
ABHD15,116236
ABHD2,11057
ABHD3,171586
ABHD4,63874
ABHD5,51099
ABHD6,57406
ABHD8,79575
ABI1,10006
ABI2,10152
ABI3,51225
ABI3BP,25890
ABL1,25
ABL2,27
ABLIM1,3983
ABLIM2,84448
ABLIM3,22885
ABO,28
ABP1,26
ABR,29
ABRA,137735
ABT1,29777
ABTB1,80325
ABTB2,25841
AC002351.1,100131138
AC002472.1,400891
AC002472.8,113691
AC002472.9,439931
AC002511.1,2865
AC002563.2,387890
AC003999.1,285941
AC004053.1,93627
AC004080.12,285943
AC004241.1,8909
AC004381.2,81691
AC004409.1,347475
AC004690.2,730130
AC004790.2,126536
AC004797.1,124871
AC004863.6,154822
AC004980.7,100133091
AC005014.1,100506049
AC005041.9,100189589
AC005077.3,222183
AC005152.2,400618
AC005277.1,9912
AC005301.1,387590
AC005358.1,284034
AC005393.1,2091
AC005488.13,389517
AC005512.1,2788
AC005551.1,284422
AC005829.1,100506084
AC005840.2,678655
AC005921.3,51747
AC005962.2,26689
AC006014.8,541473
AC006273.1,79948
AC006276.1,100170229
AC006517.3,360030
AC007276.5,442524
AC007364.1,150596
AC007405.8,285141
AC007510.1,388336
AC007601.1,642696
AC007688.2,93164
AC007743.1,100129434
AC007952.2,79999
AC008026.2,146779
AC008073.1,51639
AC008073.2,653140
AC008074.2,29094
AC008132.4,727983
AC008429.1,100268168
AC008449.1,100131897
AC008537.3,1556
AC008687.3,4909
AC008735.3,284297
AC008806.1,284459
AC008875.1,648987
AC008969.2,100128398
AC009086.2,440354
AC009093.1,653390
AC009107.3,221191
AC009123.1,654780
AC009139.1,100130958
AC009163.1,79583
AC009171.1,51025
AC009236.1,400952
AC009365.1,286023
AC009509.1,100287284
AC009532.1,100129827
AC010087.3,129293
AC010203.2,55592
AC010325.3,284365
AC010332.1,400713
AC010336.2,80164
AC010422.1,84292
AC010442.2,25845
AC010606.4,653657
AC010624.2,400710
AC010645.1,79818
AC010896.1,85465
AC010974.2,344148
AC010980.2,440934
AC010982.1,440900
AC011346.1,153218
AC011427.1,153328
AC011443.1,390928
AC011472.2,55908
AC011479.2,10653
AC011498.2,440503
AC011498.3,84717
AC011500.2,348303
AC011511.1,100125288
AC011530.1,81492
AC012100.1,84888
AC012435.1,440288
AC012621.2,9738
AC012652.1,11261
AC013271.3,440895
AC013283.1,121457
AC013356.1,644844
AC013356.3,440465
AC013400.2,400946
AC013402.2,150568
AC013553.1,123264
AC013553.2,390594
AC015871.2,283687
AC015936.3,10882
AC016525.1,283663
AC016629.3,65996
AC016683.6,654433
AC016747.3,339803
AC016757.1,151174
AC017096.1,150538
AC017099.3,728537
AC018682.6,388946
AC018755.8,729975
AC018865.8,440905
AC019171.4,100271715
AC020663.1,84656
AC021054.1,100049716
AC021148.2,401127
AC021534.2,146713
AC021850.1,285501
AC021860.1,79667
AC022075.1,22914
AC022098.1,113230
AC022098.3,342979
AC022100.1,389337
AC022311.1,727982
AC022498.2,401105
AC022596.6,162632
AC022748.1,646938
AC023024.1,55829
AC023055.2,440104
AC023510.2,196415
AC023830.2,342346
AC024270.1,50810
AC024560.3,220729
AC024575.2,64748
AC024575.3,126075
AC024940.3,79857
AC025627.16,284194
AC025647.1,5440
AC026369.2,390940
AC027323.1,116068
AC034193.5,442075
AC034199.2,133874
AC034236.3,206338
AC044839.2,374387
AC055839.1,22861
AC058791.2,378805
AC062028.1,285150
AC063965.2,100144748
AC063977.1,147645
AC066593.1,389023
AC068020.3,286042
AC068057.2,284998
AC068181.1,196993
AC068353.1,157285
AC068385.1,143678
AC068491.1,541471
AC068580.3,402778
AC068658.1,728586
AC068989.2,55601
AC069029.1,145814
AC069146.2,554201
AC069154.2,200373
AC069234.1,121665
AC069525.1,389152
AC073043.2,348751
AC073135.1,348840
AC073343.8,54753
AC073346.1,401397
AC073548.1,54944
AC073869.20,401010
AC074286.1,100130691
AC078802.1,84517
AC078847.1,441282
AC078937.4,286002
AC079061.1,55638
AC079341.1,100192379
AC079776.2,389033
AC079953.2,121601
AC084018.1,338799
AC084125.1,80728
AC084209.1,285456
AC084851.1,283116
AC087309.1,338821
AC087392.3,100131454
AC087645.1,283999
AC087742.2,7326
AC090099.4,494141
AC090360.1,440498
AC090844.1,100505591
AC091152.2,284071
AC091565.3,400322
AC091878.1,285696
AC092070.4,112401
AC092070.5,646508
AC092143.3,92806
AC092324.1,729993
AC092327.1,732275
AC092329.2,100132815
AC092384.2,390748
AC092436.3,23231
AC092490.2,57494
AC093063.1,400696
AC093283.3,64283
AC093310.1,51617
AC093726.2,100132707
AC093734.11,114796
AC093838.4,150776
AC093849.1,79804
AC094086.1,285668
AC096655.2,729121
AC097067.1,641518
AC098591.2,344967
AC098799.1,401136
AC099524.1,80790
AC099759.1,256227
AC099797.1,731220
AC100756.1,283685
AC100775.1,284257
AC100793.2,100190938
AC100793.3,388387
AC100803.1,389690
AC103540.1,728175
AC103965.1,388152
AC104665.1,388931
AC104819.1,345062
AC105206.1,9796
AC105337.1,100652929
AC105391.2,54848
AC106037.2,6632
AC106739.1,400512
AC106818.2,441094
AC107212.1,646603
AC107883.1,79834
AC107983.3,220594
AC108134.5,197350
AC108938.1,100288570
AC109486.1,25859
AC110619.2,100130449
AC110754.1,9687
AC110760.2,25849
AC110814.1,27065
AC112641.2,401097
AC113191.1,84197
AC114273.1,148231
AC114947.2,167359
AC115090.1,80725
AC116165.2,283767
AC116334.1,408187
AC116655.15,728373
AC117392.3,389170
AC117460.2,403273
AC120024.1,284131
AC120045.5,653073
AC120114.2,440356
AC125232.1,285074
AC126544.1,147081
AC128683.1,131873
AC130416.1,389151
AC130416.2,729627
AC130454.1,63928
AC130686.2,10609
AC131238.1,54621
AC132186.2,146227
AC132812.1,146880
AC133485.2,100289574
AC134312.1,400553
AC134982.1,403253
AC135050.2,339105
AC135178.1,100128288
AC135457.2,51237
AC135457.3,202051
AC135592.2,729956
AC135731.1,26082
AC135983.8,728047
AC135995.5,440295
AC136443.1,642778
AC136604.1,285679
AC136632.1,23138
AC138028.2,339059
AC138472.2,147710
AC138894.3,55911
AC138951.4,728411
AC139099.1,388574
AC139768.2,57228
AC140481.7,653781
AC141586.5,652276
AC144830.1,245940
AC145098.2,54540
AC147055.1,7366
AC152006.2,100287428
AC174470.1,348262
AC183087.2,440434
AC217771.1,162540
AC217773.2,644246
AC226150.1,647589
AC233723.1,100130311
ACAA1,30
ACAA2,10449
ACACA,31
ACACB,32
ACAD10,80724
ACAD11,84129
ACAD8,27034
ACAD9,28976
ACADL,33
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAN,176
ACAP1,9744
ACAP2,23527
ACAP3,116983
ACAT1,38
ACAT2,39
ACBD3,64746
ACBD4,79777
ACBD5,91452
ACBD6,84320
ACBD7,414149
ACCN1,40
ACCN2,41
ACCN3,9311
ACCN4,55515
ACCN5,51802
ACCS,84680
ACCSL,390110
ACD,65057
ACE,1636
ACE2,59272
ACER1,125981
ACER2,340485
ACER3,55331
ACHE,43
ACIN1,22985
ACLY,47
ACMSD,130013
ACN9,57001
ACO1,48
ACO2,50
ACOT11,26027
ACOT12,134526
ACOT13,55856
ACOT2,10965
ACOT4,122970
ACOT6,641372
ACOT7,11332
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOX2,8309
ACOX3,8310
ACOXL,55289
ACP1,52
ACP2,53
ACP5,54
ACP6,51205
ACPL2,92370
ACPP,55
ACPT,93650
ACR,49
ACRBP,84519
ACRC,93953
ACRV1,56
ACSBG1,23205
ACSBG2,81616
ACSF2,80221
ACSF3,197322
ACSL1,2180
ACSL3,2181
ACSL4,2182
ACSL5,51703
ACSL6,23305
ACSM1,116285
ACSM2,348158
ACSM2A,123876
ACSM3,6296
ACSM4,341392
ACSM5,54988
ACSS1,84532
ACSS2,55902
ACSS3,79611
ACTA1,58
ACTA2,59
ACTB,60
ACTBL2,345651
ACTC1,70
ACTG1,71
ACTG1P4,648740
ACTG2,72
ACTL6A,86
ACTL6B,51412
ACTL7A,10881
ACTL7B,10880
ACTL8,81569
ACTL9,284382
ACTN1,87
